region_code,region_name,pollutant,category,avg_value,unit,limit_value,exceedance_rate_pct,affected_zones,report_year
BRE,Bretagne,Plomb,Métaux lourds,3.2,µg/L,10,0.9,8,2024
BRE,Bretagne,PFAS,Polluants émergents,0.031,µg/L,0.1,0.8,7,2024
BRE,Bretagne,Trihalométhanes,Sous-produits,35,µg/L,100,0.9,8,2024
BRE,Bretagne,Chlore résiduel,Désinfection,0.14,mg/L,0.3,0.3,3,2024
BRE,Bretagne,Bactéries coliformes,Microbiologique,0,/100mL,0,2.1,19,2024
BRE,Bretagne,Microplastiques,Polluants émergents,2.4,particules/L,–,–,–,2024
NOR,Normandie,Nitrates,Chimique,29.4,mg/L,50,3.2,22,2024
NOR,Normandie,Pesticides total,Chimique,0.16,µg/L,0.5,1.8,14,2024
NOR,Normandie,Plomb,Métaux lourds,3.5,µg/L,10,1.0,9,2024
NOR,Normandie,PFAS,Polluants émergents,0.038,µg/L,0.1,1.1,10,2024
NOR,Normandie,Trihalométhanes,Sous-produits,32,µg/L,100,0.6,5,2024
NOR,Normandie,Chlore résiduel,Désinfection,0.13,mg/L,0.3,0.2,2,2024
NOR,Normandie,Bactéries coliformes,Microbiologique,0,/100mL,0,1.5,12,2024
NOR,Normandie,Microplastiques,Polluants émergents,2.0,particules/L,–,–,–,2024
PDL,Pays de la Loire,Nitrates,Chimique,33.6,mg/L,50,5.1,38,2024
PDL,Pays de la Loire,Pesticides total,Chimique,0.24,µg/L,0.5,3.5,28,2024
PDL,Pays de la Loire,Plomb,Métaux lourds,3.0,µg/L,10,0.7,6,2024
PDL,Pays de la Loire,PFAS,Polluants émergents,0.033,µg/L,0.1,0.9,8,2024
PDL,Pays de la Loire,Trihalométhanes,Sous-produits,30,µg/L,100,0.7,6,2024
PDL,Pays de la Loire,Chlore résiduel,Désinfection,0.11,mg/L,0.3,0.2,2,2024
PDL,Pays de la Loire,Bactéries coliformes,Microbiologique,0,/100mL,0,2.0,16,2024
PDL,Pays de la Loire,Microplastiques,Polluants émergents,2.3,particules/L,–,–,–,2024
CVL,Centre-Val de Loire,Nitrates,Chimique,27.8,mg/L,50,2.8,18,2024
CVL,Centre-Val de Loire,Pesticides total,Chimique,0.14,µg/L,0.5,1.5,11,2024
CVL,Centre-Val de Loire,Plomb,Métaux lourds,2.8,µg/L,10,0.5,5,2024
CVL,Centre-Val de Loire,PFAS,Polluants émergents,0.025,µg/L,0.1,0.6,6,2024
CVL,Centre-Val de Loire,Trihalométhanes,Sous-produits,25,µg/L,100,0.4,4,2024
CVL,Centre-Val de Loire,Chlore résiduel,Désinfection,0.09,mg/L,0.3,0.1,1,2024
CVL,Centre-Val de Loire,Bactéries coliformes,Microbiologique,0,/100mL,0,1.3,10,2024
CVL,Centre-Val de Loire,Microplastiques,Polluants émergents,1.7,particules/L,–,–,–,2024
BFC,Bourgogne-Franche-Comté,Nitrates,Chimique,15.4,mg/L,50,0.8,8,2024
BFC,Bourgogne-Franche-Comté,Pesticides total,Chimique,0.07,µg/L,0.5,0.5,5,2024
BFC,Bourgogne-Franche-Comté,Plomb,Métaux lourds,2.2,µg/L,10,0.4,4,2024
BFC,Bourgogne-Franche-Comté,PFAS,Polluants émergents,0.02,µg/L,0.1,0.4,4,2024
BFC,Bourgogne-Franche-Comté,Trihalométhanes,Sous-produits,14,µg/L,100,0.1,1,2024
BFC,Bourgogne-Franche-Comté,Chlore résiduel,Désinfection,0.07,mg/L,0.3,0.1,1,2024
BFC,Bourgogne-Franche-Comté,Bactéries coliformes,Microbiologique,0,/100mL,0,0.7,6,2024
BFC,Bourgogne-Franche-Comté,Microplastiques,Polluants émergents,1.3,particules/L,–,–,–,2024
PAC,Provence-Alpes-Côte d'Azur,Nitrates,Chimique,14.1,mg/L,50,0.6,6,2024
PAC,Provence-Alpes-Côte d'Azur,Pesticides total,Chimique,0.06,µg/L,0.5,0.4,4,2024
PAC,Provence-Alpes-Côte d'Azur,Plomb,Métaux lourds,2.4,µg/L,10,0.5,5,2024
PAC,Provence-Alpes-Côte d'Azur,PFAS,Polluants émergents,0.055,µg/L,0.1,2.1,15,2024
PAC,Provence-Alpes-Côte d'Azur,Trihalométhanes,Sous-produits,22,µg/L,100,0.3,3,2024
PAC,Provence-Alpes-Côte d'Azur,Chlore résiduel,Désinfection,0.09,mg/L,0.3,0.1,1,2024
PAC,Provence-Alpes-Côte d'Azur,Bactéries coliformes,Microbiologique,0,/100mL,0,0.8,8,2024
PAC,Provence-Alpes-Côte d'Azur,Microplastiques,Polluants émergents,1.9,particules/L,–,–,–,2024
COR,Corse,Nitrates,Chimique,6.8,mg/L,50,0.1,1,2024
COR,Corse,Pesticides total,Chimique,0.02,µg/L,0.5,0.1,1,2024
COR,Corse,Plomb,Métaux lourds,1.5,µg/L,10,0.2,2,2024
COR,Corse,PFAS,Polluants émergents,0.008,µg/L,0.1,0.1,1,2024
COR,Corse,Trihalométhanes,Sous-produits,8,µg/L,100,0.0,0,2024
COR,Corse,Chlore résiduel,Désinfection,0.05,mg/L,0.3,0.0,0,2024
COR,Corse,Bactéries coliformes,Microbiologique,0,/100mL,0,0.4,3,2024
COR,Corse,Microplastiques,Polluants émergents,0.8,particules/L,–,–,–,2024
