country_code,country_name,parameter,avg_value,unit,min_value,max_value,samples,data_year
LU,Luxembourg,Calcium,68,mg/L,16,140,200,2024
LU,Luxembourg,Magnésium,14,mg/L,2,38,200,2024
LU,Luxembourg,Sodium,12,mg/L,2,65,200,2024
LU,Luxembourg,Ammonium,0.02,mg/L,0,0.2,200,2024
LU,Luxembourg,Chlorure,20,mg/L,3,85,200,2024
LU,Luxembourg,Sulfate,35,mg/L,5,140,200,2024
LU,Luxembourg,Dureté carbonatée,13.3,°dH,0,0,0,2024
MT,Malte,Dureté totale,30,°dH,15,50,150,2024
MT,Malte,Conductivité,850,µS/cm,400,1500,150,2024
MT,Malte,Nitrate,22,mg/L,2,50,150,2024
MT,Malte,pH,7.8,,7.2,8.5,150,2024
MT,Malte,Calcium,110,mg/L,40,200,150,2024
MT,Malte,Magnésium,28,mg/L,8,65,150,2024
MT,Malte,Sodium,50,mg/L,10,200,150,2024
MT,Malte,Ammonium,0.02,mg/L,0,0.2,150,2024
MT,Malte,Chlorure,80,mg/L,15,350,150,2024
MT,Malte,Sulfate,90,mg/L,15,300,150,2024
MT,Malte,Dureté carbonatée,23.9,°dH,0,0,0,2024
NL,Pays-Bas,Dureté totale,14,°dH,4,30,1200,2024
NL,Pays-Bas,Conductivité,420,µS/cm,180,800,1200,2024
NL,Pays-Bas,Nitrate,8,mg/L,0.1,25,1200,2024
NL,Pays-Bas,pH,7.6,,7,8.3,1200,2024
NL,Pays-Bas,Calcium,55,mg/L,12,120,1200,2024
NL,Pays-Bas,Magnésium,10,mg/L,2,28,1200,2024
NL,Pays-Bas,Sodium,25,mg/L,4,120,1200,2024
NL,Pays-Bas,Ammonium,0.03,mg/L,0,0.3,1200,2024
NL,Pays-Bas,Chlorure,45,mg/L,5,200,1200,2024
NL,Pays-Bas,Sulfate,35,mg/L,4,140,1200,2024
NL,Pays-Bas,Dureté carbonatée,11.0,°dH,0,0,0,2024
PL,Pologne,Dureté totale,16,°dH,5,35,1500,2024
PL,Pologne,Conductivité,440,µS/cm,180,850,1500,2024
PL,Pologne,Nitrate,12,mg/L,0.2,42,1500,2024
PL,Pologne,pH,7.4,,6.8,8.1,1500,2024
PL,Pologne,Calcium,62,mg/L,14,130,1500,2024
PL,Pologne,Magnésium,14,mg/L,2,42,1500,2024
PL,Pologne,Sodium,12,mg/L,2,75,1500,2024
PL,Pologne,Ammonium,0.04,mg/L,0,0.5,1500,2024
PL,Pologne,Chlorure,22,mg/L,3,110,1500,2024
PL,Pologne,Sulfate,40,mg/L,5,160,1500,2024
PL,Pologne,Dureté carbonatée,12.5,°dH,0,0,0,2024
PT,Portugal,Dureté totale,15,°dH,4,35,800,2024
PT,Portugal,Conductivité,400,µS/cm,150,800,800,2024
PT,Portugal,Nitrate,14,mg/L,0.3,45,800,2024
PT,Portugal,pH,7.3,,6.8,8.1,800,2024
PT,Portugal,Calcium,58,mg/L,12,130,800,2024
PT,Portugal,Magnésium,12,mg/L,2,35,800,2024
PT,Portugal,Sodium,22,mg/L,3,110,800,2024
PT,Portugal,Ammonium,0.03,mg/L,0,0.3,800,2024
PT,Portugal,Chlorure,30,mg/L,4,140,800,2024
PT,Portugal,Sulfate,35,mg/L,4,140,800,2024
PT,Portugal,Dureté carbonatée,11.8,°dH,0,0,0,2024
RO,Roumanie,Dureté totale,14,°dH,4,32,700,2024
RO,Roumanie,Conductivité,380,µS/cm,150,750,700,2024
RO,Roumanie,Nitrate,10,mg/L,0.2,38,700,2024
RO,Roumanie,pH,7.4,,6.8,8.1,700,2024
RO,Roumanie,Calcium,55,mg/L,12,120,700,2024
RO,Roumanie,Magnésium,14,mg/L,2,40,700,2024
RO,Roumanie,Sodium,12,mg/L,1,65,700,2024
RO,Roumanie,Ammonium,0.05,mg/L,0,0.6,700,2024
RO,Roumanie,Chlorure,18,mg/L,2,80,700,2024
RO,Roumanie,Sulfate,32,mg/L,4,130,700,2024
RO,Roumanie,Dureté carbonatée,11.0,°dH,0,0,0,2024
SK,Slovaquie,Dureté totale,15,°dH,4,32,450,2024
SK,Slovaquie,Conductivité,400,µS/cm,170,780,450,2024
SK,Slovaquie,Nitrate,11,mg/L,0.2,40,450,2024
SK,Slovaquie,pH,7.4,,6.8,8.1,450,2024
SK,Slovaquie,Calcium,60,mg/L,14,130,450,2024
SK,Slovaquie,Magnésium,14,mg/L,2,38,450,2024
SK,Slovaquie,Sodium,10,mg/L,1,55,450,2024
SK,Slovaquie,Ammonium,0.04,mg/L,0,0.4,450,2024
SK,Slovaquie,Chlorure,18,mg/L,2,80,450,2024
SK,Slovaquie,Sulfate,35,mg/L,4,140,450,2024
SK,Slovaquie,Dureté carbonatée,11.9,°dH,0,0,0,2024
SI,Slovénie,Dureté totale,17,°dH,5,35,350,2024
SI,Slovénie,Conductivité,430,µS/cm,180,820,350,2024
SI,Slovénie,Nitrate,9,mg/L,0.2,32,350,2024
SI,Slovénie,pH,7.4,,6.9,8.1,350,2024
SI,Slovénie,Calcium,65,mg/L,15,140,350,2024
SI,Slovénie,Magnésium,16,mg/L,3,42,350,2024
SI,Slovénie,Sodium,8,mg/L,1,45,350,2024
SI,Slovénie,Ammonium,0.02,mg/L,0,0.2,350,2024
SI,Slovénie,Chlorure,14,mg/L,2,60,350,2024
SI,Slovénie,Sulfate,28,mg/L,4,110,350,2024
SI,Slovénie,Dureté carbonatée,13.3,°dH,0,0,0,2024
ES,Espagne,Dureté totale,22,°dH,6,45,2500,2024
ES,Espagne,Conductivité,560,µS/cm,200,1200,2500,2024
ES,Espagne,Nitrate,16,mg/L,0.3,48,2500,2024
ES,Espagne,pH,7.6,,7,8.4,2500,2024
ES,Espagne,Calcium,82,mg/L,18,170,2500,2024
ES,Espagne,Magnésium,20,mg/L,3,55,2500,2024
ES,Espagne,Sodium,25,mg/L,3,130,2500,2024
ES,Espagne,Ammonium,0.03,mg/L,0,0.3,2500,2024
ES,Espagne,Chlorure,40,mg/L,5,200,2500,2024
ES,Espagne,Sulfate,55,mg/L,6,220,2500,2024
ES,Espagne,Dureté carbonatée,17.4,°dH,0,0,0,2024
SE,Suède,Dureté totale,6,°dH,2,18,1000,2024
SE,Suède,Conductivité,200,µS/cm,60,500,1000,2024
SE,Suède,Nitrate,4,mg/L,0.1,15,1000,2024
SE,Suède,pH,7.2,,6.5,7.9,1000,2024
SE,Suède,Calcium,25,mg/L,4,70,1000,2024
SE,Suède,Magnésium,5,mg/L,1,16,1000,2024
SE,Suède,Sodium,10,mg/L,1,50,1000,2024
SE,Suède,Ammonium,0.02,mg/L,0,0.2,1000,2024
SE,Suède,Chlorure,15,mg/L,2,60,1000,2024
SE,Suède,Sulfate,18,mg/L,2,70,1000,2024
SE,Suède,Dureté carbonatée,4.8,°dH,0,0,0,2024
